Product code,CPU cores,CPU freq,CPU name,Display height,Display screen,Display witdh,Maker code,Maker name,Memory RAM,Memory ROM,Name ID,OS type,OS version,Study or work,Entertaiment
SC-06D,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.8,720,sc,SAMSUNG,2048,32768,Galaxy S III,android,4.1,0,0
SCL21,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.8,720,sc,SAMSUNG,2048,32768,GALAXY S III Progre,android,4.1,0,0
SCL22,4,2.3,Qualcomm Snapdragon 800 MSM8974,1920,5.7,1080,sc,SAMSUNG,3072,32768,GALAXY Note 3,android,5,1,1
SCL23,4,2.5,Qualcomm Snapdragon 801 MSM8974AC,1920,5.1,1080,sc,SAMSUNG,2048,32768,GALAXY S5,android,5,1,1
SCL24,4,2.7,Qualcomm Snapdragon 805 APQ8084,2560,5.6,1600,sc,SAMSUNG,3072,32768,GALAXY Note Edge,android,4.4,1,1
SCV31,8,2.1,Exynos7420,2560,5.1,1440,sc,SAMSUNG,3072,65536,Galaxy S6 edge,android,5,1,1
SCV32,8,1.9,Exynos5433,1920,5.7,1080,sc,SAMSUNG,2048,32768,Galaxy A8,android,5.1,1,1
SD4930UR,4,2.26,Krait 400,1280,4.7,720,,Amazon,2048,32768,Fire Phone,android,4.2.2,0,0
SGP511,4,2.3,Snapdragon 801,1200,10.1,1920,,SONY,3072,16384,Xperia Z2 Tablet,android,4.4.2,1,1
SH-01D,2,1,Texas Instruments OMAP4430,1280,4.5,720,sh,SHARP,1024,2048,AQUOS Phone,android,4,0,0
SH-01E,2,1.5,Qualcomm Snapdragon MSM8960,960,4.1,540,sh,SHARP,1024,16384,AQUOS PHONE si,android,4.1,0,0
SH-01E_Vivienne_Westwood,2,1.5,Qualcomm Snapdragon MSM8960,960,4.1,540,sh,SHARP,1024,16384,SH-01E,android,4.1,0,0
SH-01F,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920,5,1080,sh,SHARP,2048,32768,AQUOS PHONE ZETA,android,4.4,1,1
SH-01F_DRAGON_QUEST,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920,5,1080,sh,SHARP,2048,32768,SH-01F,android,4.2,1,1
SH-01G,4,2.3,Qualcomm、Snapdragon 801 MSM8974AB,1920,5.5,1080,sh,SHARP,2048,32768,AQUOS ZETA,android,5,1,1
SH-01H,6,1.8,Qualcomm Snapdragon 808 MSM8992,1920,5.3,1080,sh,SHARP,3072,32768,AQUOS ZETA,android,5.1,1,1
SH-02E,4,1.5,Qualcomm Snapdragon APQ8064,1280,4.9,720,sh,SHARP,2048,32768,AQUOS PHONE ZETA,android,4.1,0,0
SH-02F,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920,4.5,1080,sh,SHARP,2048,16384,AQUOS PHONE EX,android,4.2,0,0
SH-02G,4,2.3,Qualcomm、Snapdragon 801 MSM8974AB,1920,5.5,1080,sh,SHARP,2048,32768,Disney Mobile on docomo,android,4.4,1,1
SH-02H,6,1.8,Qualcomm Snapdragon 808 MSM8992,1920,4.7,1080,sh,SHARP,3072,16384,AQUOS Compact,android,5.1,0,0
SH-03G,8,2,Qualcomm Snapdragon 810 MSM8994,1920,5.5,1080,sh,SHARP,3072,32768,AQUOS ZETA,android,5,1,1
SH-04E,4,1.5,Qualcomm Snapdragon S4 Pro APQ8064,1280,4.5,720,sh,SHARP,2048,16384,AQUOS PHONE EX,android,4.1,0,0
